"Story","Title","Result","Date","Stability","Duration (s)"
"Create pcq request test","Create pcq answers success","SUCCESS","2020-03-24T08:14:32.769701Z[Europe/London]","0.0","0.72"
"Update pcq request test","Invalid pregnancy","SUCCESS","2020-03-26T16:48:50.841791Z[Europe/London]","0.0","0.78"
"Update pcq request test","Update sex","SUCCESS","2020-03-26T16:48:51.654061Z[Europe/London]","0.0","0.17"
"Update pcq request test","Test injection other disability","SUCCESS","2020-03-26T16:48:51.826621Z[Europe/London]","0.0","0.1"
"Update pcq request test","Invalid dob","SUCCESS","2020-03-26T16:48:51.923759Z[Europe/London]","0.0","0.06"
"Update pcq request test","Test injection other religion","SUCCESS","2020-03-26T16:48:51.990862Z[Europe/London]","0.0","0.09"
"Update pcq request test","Dob provided state date","SUCCESS","2020-03-26T16:48:52.080589Z[Europe/London]","0.0","0.06"
"Update pcq request test","Test injection other ethnicity","SUCCESS","2020-03-26T16:48:52.142849Z[Europe/London]","0.0","0.09"
"Update pcq request test","Update gender","SUCCESS","2020-03-26T16:48:52.238086Z[Europe/London]","0.0","0.11"
"Update pcq request test","Update dob provided success","SUCCESS","2020-03-26T16:48:52.351674Z[Europe/London]","0.0","0.06"
"Update pcq request test","Update other disability details","SUCCESS","2020-03-26T16:48:52.414109Z[Europe/London]","0.0","0.06"
"Update pcq request test","Update english language level","SUCCESS","2020-03-26T16:48:52.478968Z[Europe/London]","0.0","0.16"
"Update pcq request test","Update ethnicity other","SUCCESS","2020-03-26T16:48:52.644514Z[Europe/London]","0.0","0.05"
"Update pcq request test","Update married","SUCCESS","2020-03-26T16:48:52.695838Z[Europe/London]","0.0","0.11"
"Update pcq request test","Update other sexuality","SUCCESS","2020-03-26T16:48:52.810026Z[Europe/London]","0.0","0.05"
"Update pcq request test","Update pregnancy","SUCCESS","2020-03-26T16:48:52.861096Z[Europe/London]","0.0","0.12"
"Update pcq request test","Test sql injection","SUCCESS","2020-03-26T16:48:52.988221Z[Europe/London]","0.0","0.04"
"Update pcq request test","Update main language","SUCCESS","2020-03-26T16:48:53.031675Z[Europe/London]","0.0","0.12"
"Update pcq request test","Test injection other sexuality","SUCCESS","2020-03-26T16:48:53.159867Z[Europe/London]","0.0","0.08"
"Update pcq request test","Update religion","SUCCESS","2020-03-26T16:48:53.237556Z[Europe/London]","0.0","0.23"
"Update pcq request test","Update ethnicity","SUCCESS","2020-03-26T16:48:53.469238Z[Europe/London]","0.0","0.41"
"Update pcq request test","Update dob success","SUCCESS","2020-03-26T16:48:53.876219Z[Europe/London]","0.0","0.05"
"Update pcq request test","Update disability types","SUCCESS","2020-03-26T16:48:53.930169Z[Europe/London]","0.0","0.06"
"Update pcq request test","Update religion other","SUCCESS","2020-03-26T16:48:53.991817Z[Europe/London]","0.0","0.05"
"Update pcq request test","Update gender different","SUCCESS","2020-03-26T16:48:54.045995Z[Europe/London]","0.0","0.05"
"Update pcq request test","Update disability conditions","SUCCESS","2020-03-26T16:48:54.10201Z[Europe/London]","0.0","0.1"
"Update pcq request test","Test injection other language","SUCCESS","2020-03-26T16:48:54.20088Z[Europe/London]","0.0","0.07"
"Update pcq request test","Update disability impact","SUCCESS","2020-03-26T16:48:54.276965Z[Europe/London]","0.0","0.12"
"Update pcq request test","Update other language","SUCCESS","2020-03-26T16:48:54.397862Z[Europe/London]","0.0","0.05"
"Update pcq request test","Update sexuality","SUCCESS","2020-03-26T16:48:54.451618Z[Europe/London]","0.0","0.14"
"Create pcq request test","Create pcq answers success without case","SUCCESS","2020-03-26T16:48:55.56509Z[Europe/London]","0.0","0.04"
"Create pcq request test","Create pcq answers success with case","SUCCESS","2020-03-26T16:48:55.605307Z[Europe/London]","0.0","0.03"
"Create pcq request test","Test controller internal error","SUCCESS","2020-03-26T16:48:55.639832Z[Europe/London]","0.0","0.06"
"Create pcq answers test","Create pcq answers with case id","SUCCESS","2020-03-26T16:51:21.129659Z[Europe/London]","0.0","3.93"
"Create pcq answers test","Create pcq answers without case id","SUCCESS","2020-03-26T16:51:25.088769Z[Europe/London]","0.0","0.12"
"Update pcq answers test","Update pcq answers","SUCCESS","2020-03-26T16:51:26.06727Z[Europe/London]","0.0","0.18"
"Endpoint security test","Should allow unauthenticated requests to health check and return 200 response code","SUCCESS","2020-03-26T16:51:26.282987Z[Europe/London]","0.0","0.16"
"Endpoint security test","Should allow unauthenticated requests to welcome message and return 200 response code","SUCCESS","2020-03-26T16:51:26.4499Z[Europe/London]","0.0","0.02"
"Pcq answers error response test","Invalid json request","SUCCESS","2020-03-26T16:51:26.510583Z[Europe/London]","0.0","0.19"
"Pcq answers error response test","Stale pcq answers","SUCCESS","2020-03-26T16:51:26.708637Z[Europe/London]","0.0","0.14"
"Pcq answers error response test","Invalid version","SUCCESS","2020-03-26T16:51:26.853489Z[Europe/London]","0.0","0.08"
"Pcq answers error response test","Un recoverable error test","SUCCESS","2020-03-26T16:51:26.936751Z[Europe/London]","0.0","0.09"
